freq	real(S(1,1))
1.28000000009999981E9	8.60230249470369124E-1
1.29000000009999982E9	8.58149688272246358E-1
1.30000000009999983E9	8.56056266733894589E-1
1.31000000009999984E9	8.53950054979032203E-1
1.32000000009999985E9	8.51831123411273161E-1
1.33000000009999964E9	8.49699542709801570E-1
1.34000000009999987E9	8.47555383824089148E-1
1.35000000009999988E9	8.45398717968683933E-1
1.36000000009999988E9	8.43229616618927480E-1
1.37000000009999967E9	8.41048151505275676E-1
1.38000000009999968E9	8.38854394608985388E-1
1.39000000009999991E9	8.36648418156783080E-1
1.40000000009999992E9	8.34430294616212365E-1
1.41000000009999971E9	8.32200096690369939E-1
1.42000000009999972E9	8.29957897313675907E-1
1.43000000009999972E9	8.27703769645896159E-1
1.44000000009999995E9	8.25437787068162443E-1
1.45000000009999974E9	8.23160023177534939E-1
1.46000000009999975E9	8.20870551782273417E-1
1.47000000009999976E9	8.18569446897281949E-1
1.48000000009999977E9	8.16256782738461517E-1
1.49000000009999978E9	8.13932633718554754E-1
1.50000000009999979E9	8.11597074441807464E-1
1.51000000009999980E9	8.09250179699093408E-1
1.52000000009999980E9	8.06892024463577684E-1
1.53000000009999981E9	8.04522683885312162E-1
1.54000000009999982E9	8.02142233286634010E-1
1.55000000009999983E9	7.99750748157547431E-1
1.56000000009999984E9	7.97348304150157006E-1
1.57000000009999985E9	7.94934977074884408E-1
1.58000000009999964E9	7.92510842894764522E-1
1.59000000009999987E9	7.90075977721429190E-1
1.60000000009999965E9	7.87630457809702023E-1
1.61000000009999988E9	7.85174359553096668E-1
1.62000000009999989E9	7.82707759479478504E-1
1.63000000009999968E9	7.80230734245602520E-1
1.64000000010000013E9	7.77743360632878478E-1
1.65000000009999992E9	7.75245715542252078E-1
1.66000000010000015E9	7.72737875990716638E-1
1.67000000009999994E9	7.70219919104553785E-1
1.68000000010000017E9	7.67691922116815739E-1
1.69000000010000018E9	7.65153962361306661E-1
1.70000000009999996E9	7.62606117268615158E-1
1.71000000010000019E9	7.60048464361234899E-1
1.72000000009999998E9	7.57481081249123722E-1
1.73000000009999999E9	7.54904045625289566E-1
1.74000000010000022E9	7.52317435260610345E-1
1.75000000010000001E9	7.49721328000303444E-1
1.76000000010000024E9	7.47115801758341647E-1
1.77000000010000003E9	7.44500934514109591E-1
1.78000000010000003E9	7.41876804306856030E-1
1.79000000010000027E9	7.39243489231888429E-1
1.80000000010000005E9	7.36601067436217960E-1
1.81000000010000006E9	7.33949617113775865E-1
1.82000000009999985E9	7.31289216501164407E-1
1.83000000010000008E9	7.28619943873382070E-1
1.84000000010000031E9	7.25941877539719904E-1
1.85000000010000010E9	7.23255095839089091E-1
1.86000000010000011E9	7.20559677135344145E-1
1.87000000009999989E9	7.17855699814454962E-1
1.88000000010000012E9	7.15143242278550595E-1
1.89000000010000013E9	7.12422382942928856E-1
1.90000000009999992E9	7.09693200231310506E-1
1.91000000010000015E9	7.06955772571849828E-1
1.92000000009999994E9	7.04210178392759722E-1
1.93000000010000017E9	7.01456496118686879E-1
1.94000000010000018E9	6.98694804166271766E-1
1.95000000009999996E9	6.95925180939939381E-1
1.96000000010000019E9	6.93147704828183286E-1
1.97000000009999998E9	6.90362454199548381E-1
1.98000000009999999E9	6.87569507398374569E-1
1.99000000010000022E9	6.84768942741241382E-1
2.00000000010000001E9	6.81960838512472911E-1
2.01000000010000024E9	6.79145272960957769E-1
2.02000000010000003E9	6.76322324295527366E-1
2.03000000010000026E9	6.73492070681842314E-1
2.04000000010000004E9	6.70654590237870174E-1
2.05000000009999983E9	6.67809961030772392E-1
2.06000000009999962E9	6.64958261072513501E-1
2.07000000009999985E9	6.62099568316757647E-1
2.08000000009999964E9	6.59233960654308060E-1
2.09000000009999987E9	6.56361515910568905E-1
2.10000000009999965E9	6.53482311841040886E-1
2.11000000009999988E9	6.50596426127731320E-1
2.12000000010000011E9	6.47703936376216660E-1
2.13000000009999990E9	6.44804920111518953E-1
2.14000000009999969E9	6.41899454774563338E-1
2.15000000009999948E9	6.38987617719165613E-1
2.16000000009999971E9	6.36069486208106483E-1
2.17000000009999994E9	6.33145137409677972E-1
2.18000000009999972E9	6.30214648394632704E-1
2.19000000009999995E9	6.27278096132780849E-1
2.20000000009999974E9	6.24335557489312087E-1
2.21000000009999997E9	6.21387109221707590E-1
2.22000000009999976E9	6.18432827976320265E-1
2.23000000009999955E9	6.15472790285456028E-1
2.24000000009999978E9	6.12507072563843025E-1
2.25000000009999956E9	6.09535751105583667E-1
2.26000000009999980E9	6.06558902080717832E-1
2.27000000010000003E9	6.03576601532583368E-1
2.28000000009999981E9	6.00588925374436933E-1
2.29000000010000004E9	5.97595949386574787E-1
2.30000000009999983E9	5.94597749212734339E-1
2.31000000009999962E9	5.91594400358003192E-1
2.32000000009999985E9	5.88585978184999803E-1
2.33000000009999964E9	5.85572557911809177E-1
2.34000000009999987E9	5.82554214608039977E-1
2.35000000009999965E9	5.79531023192951800E-1
2.36000000009999988E9	5.76503058431767190E-1
2.37000000010000011E9	5.73470394933838890E-1
2.38000000009999990E9	5.70433107148924634E-1
2.39000000009999969E9	5.67391269364898143E-1
2.40000000009999948E9	5.64344955705081297E-1
2.41000000009999971E9	5.61294240125406851E-1
2.42000000009999994E9	5.58239196411872740E-1
2.43000000009999972E9	5.55179898177998510E-1
2.44000000009999995E9	5.52116418862147906E-1
2.45000000009999974E9	5.49048831724665121E-1
2.46000000009999997E9	5.45977209846217271E-1
2.47000000009999976E9	5.42901626124310432E-1
2.48000000009999955E9	5.39822153271788352E-1
2.49000000009999978E9	5.36738863813400968E-1
2.50000000009999956E9	5.33651830084439727E-1
2.51000000009999980E9	5.30561124227605418E-1
2.52000000010000003E9	5.27466818191077813E-1
2.53000000009999981E9	5.24368983726271942E-1
2.54000000010000004E9	5.21267692385249681E-1
2.55000000009999983E9	5.18163015518655001E-1
2.56000000010000006E9	5.15055024273855899E-1
2.57000000009999985E9	5.11943789592302068E-1
2.58000000010000008E9	5.08829382207450287E-1
2.59000000010000031E9	5.05711872642994553E-1
2.60000000010000010E9	5.02591331210578307E-1
2.61000000010000033E9	4.99467828007806602E-1
2.62000000010000011E9	4.96341432916119096E-1
