freq	real(S(1,1))
3.45999999999999996E9	6.15319683748990442E-1
3.47000000000000020E9	6.13416762646813218E-1
3.47999999999999954E9	6.11511583467499342E-1
3.48999999999999977E9	6.09604166533972425E-1
3.50000000000000000E9	6.07694532142021515E-1
3.51000000000000023E9	6.05782700559063869E-1
3.52000000000000046E9	6.03868692025115550E-1
3.52999999999999980E9	6.01952526751420525E-1
3.54000000000000004E9	6.00034224920208814E-1
3.54999999999999982E9	5.98113806685019345E-1
3.56000000000000005E9	5.96191292169648790E-1
3.57000000000000028E9	5.94266701468146685E-1
3.57999999999999963E9	5.92340054644568248E-1
3.58999999999999986E9	5.90411371732041612E-1
3.60000000000000009E9	5.88480672733417798E-1
3.61000000000000032E9	5.86547977620240957E-1
3.62000000000000011E9	5.84613306332332705E-1
3.62999999999999989E9	5.82676678778123502E-1
3.63999999999999968E9	5.80738114833911645E-1
3.64999999999999991E9	5.78797634343180434E-1
3.66000000000000014E9	5.76855257117113940E-1
3.67000000000000037E9	5.74911002933776949E-1
3.67999999999999972E9	5.72964891537582410E-1
3.68999999999999995E9	5.71016942639757374E-1
3.70000000000000018E9	5.69067175917309598E-1
3.70999999999999996E9	5.67115611012871845E-1
3.72000000000000020E9	5.65162267534797813E-1
3.72999999999999954E9	5.63207165056557280E-1
3.73999999999999977E9	5.61250323116177174E-1
3.75000000000000000E9	5.59291761216483163E-1
3.76000000000000023E9	5.57331498824675364E-1
3.77000000000000046E9	5.55369555371781054E-1
3.77999999999999980E9	5.53405950252458645E-1
3.79000000000000004E9	5.51440702825110485E-1
3.79999999999999982E9	5.49473832410956220E-1
3.81000000000000005E9	5.47505358294226419E-1
3.82000000000000028E9	5.45535299721726652E-1
3.82999999999999963E9	5.43563675902642096E-1
3.83999999999999986E9	5.41590506008366823E-1
3.85000000000000009E9	5.39615809171632765E-1
3.86000000000000032E9	5.37639604487190059E-1
3.87000000000000011E9	5.35661911010821434E-1
3.87999999999999989E9	5.33682747759378184E-1
3.88999999999999968E9	5.31702133710619584E-1
3.89999999999999991E9	5.29720087802447281E-1
3.91000000000000014E9	5.27736628933370255E-1
3.92000000000000037E9	5.25751775961760970E-1
3.92999999999999972E9	5.23765547705935308E-1
3.93999999999999995E9	5.21777962943620111E-1
3.95000000000000018E9	5.19789040411606607E-1
3.95999999999999996E9	5.17798798806065896E-1
3.97000000000000020E9	5.15807256781960000E-1
3.97999999999999954E9	5.13814432952645106E-1
3.98999999999999977E9	5.11820345890002582E-1
4.00000000000000000E9	5.09825014123929598E-1
4.00999999999999979E9	5.07828456142324303E-1
4.02000000000000046E9	5.05830690390572890E-1
4.02999999999999936E9	5.03831735271931436E-1
4.04000000000000004E9	5.01831609146437874E-1
4.04999999999999982E9	4.99830330331446415E-1
4.06000000000000050E9	4.97827917101059292E-1
4.07000000000000028E9	4.95824387686037760E-1
4.08000000000000007E9	4.93819760273322750E-1
4.08999999999999986E9	4.91814053006290841E-1
4.09999999999999964E9	4.89807283984288588E-1
4.11000000000000032E9	4.87799471262347417E-1
4.12000000000000011E9	4.85790632851260895E-1
4.12999999999999989E9	4.83780786717077760E-1
4.13999999999999968E9	4.81769950780922329E-1
4.15000000000000036E9	4.79758142919393560E-1
4.16000000000000014E9	4.77745380963556787E-1
4.16999999999999993E9	4.75731682699173319E-1
4.17999999999999972E9	4.73717065866510900E-1
4.18999999999999950E9	4.71701548160169892E-1
4.20000000000000018E9	4.69685147228752164E-1
4.20999999999999996E9	4.67667880674941916E-1
4.22000000000000064E9	4.65649766054938752E-1
4.22999999999999954E9	4.63630820878818461E-1
4.24000000000000021E9	4.61611062609905076E-1
4.25000000000000000E9	4.59590508664744490E-1
4.25999999999999979E9	4.57569176413048506E-1
4.27000000000000046E9	4.55547083177388856E-1
4.27999999999999936E9	4.53524246233186368E-1
4.29000000000000004E9	4.51500682808400455E-1
4.29999999999999982E9	4.49476410083422984E-1
4.31000000000000050E9	4.47451445191091146E-1
4.32000000000000028E9	4.45425805216260784E-1
4.33000000000000007E9	4.43399507195835429E-1
4.33999999999999986E9	4.41372568118518771E-1
4.34999999999999964E9	4.39345004924831084E-1
4.36000000000000032E9	4.37316834506712837E-1
4.37000000000000011E9	4.35288073707879697E-1
4.37999999999999989E9	4.33258739322814002E-1
4.38999999999999968E9	4.31228848097644679E-1
4.40000000000000036E9	4.29198416729268217E-1
4.41000000000000014E9	4.27167461865660414E-1
4.41999999999999993E9	4.25136000105313272E-1
