VGS	VDS	fetCharTestingSmartSim0..IDS.i[0, ::]
-1.00000000000000000E0	1.10000000000000031E0	4.39985404888499598E-3
-1.00000000000000000E0	1.15000000000000036E0	4.49359235869840035E-3
-1.00000000000000000E0	1.20000000000000040E0	4.58020435636274215E-3
-1.00000000000000000E0	1.25000000000000044E0	4.66013291183825817E-3
-1.00000000000000000E0	1.30000000000000049E0	4.73381257470011807E-3
-1.00000000000000000E0	1.35000000000000053E0	4.80166603139452519E-3
-1.00000000000000000E0	1.40000000000000058E0	4.86410132443640997E-3
-1.00000000000000000E0	1.45000000000000062E0	4.92150975219631714E-3
-1.00000000000000000E0	1.50000000000000067E0	4.97426436597185528E-3
-1.00000000000000000E0	1.55000000000000071E0	5.02271898239868975E-3
-1.00000000000000000E0	1.60000000000000075E0	5.06720763304524624E-3
-1.00000000000000000E0	1.65000000000000080E0	5.10804437849121573E-3
-1.00000000000000000E0	1.70000000000000084E0	5.14552342067246116E-3
-1.00000000000000000E0	1.75000000000000089E0	5.17991945427406097E-3
-1.00000000000000000E0	1.80000000000000093E0	5.21148820507433808E-3
-1.00000000000000000E0	1.85000000000000098E0	5.24046711009425881E-3
-1.00000000000000000E0	1.90000000000000102E0	5.26707610098856627E-3
-1.00000000000000000E0	1.95000000000000107E0	5.29151845819463773E-3
-1.00000000000000000E0	2.00000000000000089E0	5.31398170886081900E-3
-1.00000000000000000E0	2.05000000000000071E0	5.33463854647664082E-3
-1.00000000000000000E0	2.10000000000000053E0	5.35364775442575969E-3
-1.00000000000000000E0	2.15000000000000036E0	5.37115511940118662E-3
-1.00000000000000000E0	2.20000000000000018E0	5.38729432380127271E-3
-1.00000000000000000E0	2.25000000000000000E0	5.40218780890965000E-3
-1.00000000000000000E0	2.29999999999999982E0	5.41594760290387001E-3
-1.00000000000000000E0	2.34999999999999964E0	5.42867610958844171E-3
-1.00000000000000000E0	2.39999999999999947E0	5.44046685525743978E-3
-1.00000000000000000E0	2.44999999999999929E0	5.45140519230673881E-3
-1.00000000000000000E0	2.49999999999999911E0	5.46156895918156060E-3
-1.00000000000000000E0	2.54999999999999893E0	5.47102909699754303E-3
-1.00000000000000000E0	2.59999999999999876E0	5.47985022375015163E-3
-1.00000000000000000E0	2.64999999999999858E0	5.48809116745723280E-3
-1.00000000000000000E0	2.69999999999999840E0	5.49580545988840097E-3
-1.00000000000000000E0	2.74999999999999822E0	5.50304179274731986E-3
-1.00000000000000000E0	2.79999999999999805E0	5.50984443830595616E-3
-1.00000000000000000E0	2.84999999999999787E0	5.51625363656039625E-3
-1.00000000000000000E0	2.89999999999999769E0	5.52230595099978494E-3
-1.00000000000000000E0	2.94999999999999751E0	5.52803459506399530E-3
-1.00000000000000000E0	2.99999999999999734E0	5.53346973132059361E-3
-1.00000000000000000E0	3.04999999999999716E0	5.53863874532671385E-3
-1.00000000000000000E0	3.09999999999999698E0	5.54356649605942575E-3
-1.00000000000000000E0	3.14999999999999680E0	5.54827554470894668E-3
-1.00000000000000000E0	3.19999999999999662E0	5.55278636353062005E-3
