VGS	VDS	aLookAtMe_SimWizard0..IDS.i[0, ::]
-1.30000000000000049E0	1.80000000000000049E0	7.43165692372541375E-5
-1.30000000000000049E0	1.90000000000000058E0	7.50377331593943886E-5
-1.30000000000000049E0	2.00000000000000044E0	7.56338503008971585E-5
-1.30000000000000049E0	2.10000000000000053E0	7.61258910571153269E-5
-1.30000000000000049E0	2.20000000000000062E0	7.65315415230549689E-5
-1.30000000000000049E0	2.30000000000000071E0	7.68656406233512701E-5
-1.30000000000000049E0	2.40000000000000080E0	7.71405860105954844E-5
-1.30000000000000049E0	2.50000000000000089E0	7.73667001423215694E-5
-1.30000000000000049E0	2.60000000000000098E0	7.75525535689066459E-5
-1.30000000000000049E0	2.70000000000000107E0	7.77052459876240853E-5
-1.30000000000000049E0	2.80000000000000115E0	7.78306476716316098E-5
-1.30000000000000049E0	2.90000000000000124E0	7.79336049434777678E-5
-1.30000000000000049E0	3.00000000000000133E0	7.80181137778024247E-5
-1.30000000000000049E0	3.10000000000000142E0	7.80874656317939042E-5
-1.30000000000000049E0	3.20000000000000151E0	7.81443693836933573E-5
-1.30000000000000049E0	3.30000000000000160E0	7.81910529167921275E-5
-1.30000000000000049E0	3.40000000000000169E0	7.82293474956527746E-5
-1.30000000000000049E0	3.50000000000000178E0	7.82607576804823069E-5
-1.30000000000000049E0	3.60000000000000187E0	7.82865191455629272E-5
-1.30000000000000049E0	3.70000000000000195E0	7.83076464191233512E-5
-1.30000000000000049E0	3.80000000000000204E0	7.83249722499624390E-5
-1.30000000000000049E0	3.90000000000000213E0	7.83391800360956569E-5
-1.30000000000000049E0	4.00000000000000178E0	7.83508305147459616E-5
-1.30000000000000049E0	4.10000000000000142E0	7.83603837140447990E-5
-1.30000000000000049E0	4.20000000000000107E0	7.83682169972929721E-5
-1.30000000000000049E0	4.30000000000000071E0	7.83746398884359508E-5
-1.30000000000000049E0	4.40000000000000036E0	7.83799062481614772E-5
-1.30000000000000049E0	4.50000000000000000E0	7.83842242708790327E-5
-1.30000000000000049E0	4.59999999999999964E0	7.83877646907551195E-5
-1.30000000000000049E0	4.69999999999999929E0	7.83906675159737354E-5
-1.30000000000000049E0	4.79999999999999893E0	7.83930475542376826E-5
-1.30000000000000049E0	4.89999999999999858E0	7.83949989460461261E-5
-1.30000000000000049E0	4.99999999999999822E0	7.83965988833905669E-5
-1.30000000000000049E0	5.09999999999999787E0	7.83979106596285824E-5
-1.30000000000000049E0	5.19999999999999751E0	7.83989861714433189E-5
-1.30000000000000049E0	5.29999999999999716E0	7.83998679701509271E-5
-1.30000000000000049E0	5.39999999999999680E0	7.84005909443721549E-5
-1.30000000000000049E0	5.49999999999999645E0	7.84011836995865519E-5
-1.30000000000000049E0	5.59999999999999609E0	7.84016696896110865E-5
-1.30000000000000049E0	5.69999999999999574E0	7.84020681441755229E-5
-1.30000000000000049E0	5.79999999999999538E0	7.84023948296308681E-5
-1.30000000000000049E0	5.89999999999999503E0	7.84026626728039222E-5
-1.30000000000000049E0	6.00000000000000000E0	7.84028822720773633E-5

VGS	VDS	aLookAtMe_SimWizard0..IDS.i[3, ::]
-1.25000000000000044E0	1.00000000000000000E-1	7.70453433383549768E-5
-1.25000000000000044E0	2.00000000000000000E-1	1.51773365465137533E-4
-1.25000000000000044E0	3.00000000000000044E-1	2.22916447401307583E-4
-1.25000000000000044E0	4.00000000000000000E-1	2.89454435378166286E-4
-1.25000000000000044E0	5.00000000000000000E-1	3.50658299992164180E-4
-1.25000000000000044E0	6.00000000000000000E-1	4.06098373039769722E-4
-1.25000000000000044E0	7.00000000000000000E-1	4.55622464188556187E-4
-1.25000000000000044E0	7.99999999999999911E-1	4.99313111024839351E-4
-1.25000000000000044E0	9.00000000000000000E-1	5.37434229171546463E-4
-1.25000000000000044E0	0.99999999999999989E0	5.70376133246796080E-4
-1.25000000000000044E0	1.09999999999999987E0	5.98605361911600475E-4
-1.25000000000000044E0	1.19999999999999996E0	6.22622963212678737E-4
-1.25000000000000044E0	1.30000000000000004E0	6.42932542460794032E-4
-1.25000000000000044E0	1.40000000000000013E0	6.60017727115236852E-4
-1.25000000000000044E0	1.50000000000000022E0	6.74327763033496730E-4
-1.25000000000000044E0	1.60000000000000031E0	6.86269577050398638E-4
-1.25000000000000044E0	1.70000000000000040E0	6.96204633972658105E-4
-1.25000000000000044E0	1.80000000000000049E0	7.04449114572497237E-4
-1.25000000000000044E0	1.90000000000000058E0	7.11276223093880589E-4
-1.25000000000000044E0	2.00000000000000044E0	7.16919722085792976E-4
-1.25000000000000044E0	2.10000000000000053E0	7.21578049172224034E-4
-1.25000000000000044E0	2.20000000000000062E0	7.25418579095116201E-4
-1.25000000000000044E0	2.30000000000000071E0	7.28581753689912404E-4
-1.25000000000000044E0	2.40000000000000080E0	7.31184918074271906E-4
-1.25000000000000044E0	2.50000000000000089E0	7.33325781517417674E-4
-1.25000000000000044E0	2.60000000000000098E0	7.35085474574123054E-4
-1.25000000000000044E0	2.70000000000000107E0	7.36531207423582490E-4
-1.25000000000000044E0	2.80000000000000115E0	7.37718553840621905E-4
-1.25000000000000044E0	2.90000000000000124E0	7.38693395322110824E-4
-1.25000000000000044E0	3.00000000000000133E0	7.39493563873774029E-4
-1.25000000000000044E0	3.10000000000000142E0	7.40150222141154046E-4
-1.25000000000000044E0	3.20000000000000151E0	7.40689017527805760E-4
-1.25000000000000044E0	3.30000000000000160E0	7.41131043737524564E-4
-1.25000000000000044E0	3.40000000000000169E0	7.41493639482101941E-4
-1.25000000000000044E0	3.50000000000000178E0	7.41791050327427470E-4
-1.25000000000000044E0	3.60000000000000187E0	7.42034976056361550E-4
-1.25000000000000044E0	3.70000000000000195E0	7.42235022630831587E-4
-1.25000000000000044E0	3.80000000000000204E0	7.42399074897382416E-4
-1.25000000000000044E0	3.90000000000000213E0	7.42533603610547210E-4
-1.25000000000000044E0	4.00000000000000178E0	7.42643918131251901E-4
-1.25000000000000044E0	4.10000000000000142E0	7.42734374266522579E-4
-1.25000000000000044E0	4.20000000000000107E0	7.42808545115354768E-4
-1.25000000000000044E0	4.30000000000000071E0	7.42869361439578046E-4
-1.25000000000000044E0	4.40000000000000036E0	7.42919226951040823E-4
-1.25000000000000044E0	4.50000000000000000E0	7.42960112968188557E-4
-1.25000000000000044E0	4.59999999999999964E0	7.42993636113398104E-4
-1.25000000000000044E0	4.69999999999999929E0	7.43021122076387108E-4
-1.25000000000000044E0	4.79999999999999893E0	7.43043657933430701E-4
-1.25000000000000044E0	4.89999999999999858E0	7.43062135070467011E-4
-1.25000000000000044E0	4.99999999999999822E0	7.43077284392941806E-4
-1.25000000000000044E0	5.09999999999999787E0	7.43089705206584128E-4
-1.25000000000000044E0	5.19999999999999751E0	7.43099888904085049E-4
-1.25000000000000044E0	5.29999999999999716E0	7.43108238391153453E-4
-1.25000000000000044E0	5.39999999999999680E0	7.43115084017119099E-4
-1.25000000000000044E0	5.49999999999999645E0	7.43120696638814415E-4
-1.25000000000000044E0	5.59999999999999609E0	7.43125298332941941E-4
-1.25000000000000044E0	5.69999999999999574E0	7.43129071180038281E-4
-1.25000000000000044E0	5.79999999999999538E0	7.43132164467244483E-4
-1.25000000000000044E0	5.89999999999999503E0	7.43134700593892461E-4
-1.25000000000000044E0	6.00000000000000000E0	7.43136779913980750E-4

VGS	VDS	aLookAtMe_SimWizard0..IDS.i[4, ::]
-1.20000000000000040E0	1.00000000000000000E-1	1.56686340339316432E-4
-1.20000000000000040E0	2.00000000000000000E-1	3.08447421706634817E-4
-1.20000000000000040E0	3.00000000000000044E-1	4.52766834228096027E-4
-1.20000000000000040E0	4.00000000000000000E-1	5.87629910360225871E-4
-1.20000000000000040E0	5.00000000000000000E-1	7.11605800133527033E-4
-1.20000000000000040E0	6.00000000000000000E-1	8.23860598311702574E-4
-1.20000000000000040E0	7.00000000000000000E-1	9.24112110179974167E-4
-1.20000000000000040E0	7.99999999999999911E-1	1.01254424680882593E-3
-1.20000000000000040E0	9.00000000000000000E-1	1.08970093071521146E-3
-1.20000000000000040E0	0.99999999999999989E0	1.15637692220684829E-3
-1.20000000000000040E0	1.09999999999999987E0	1.21351812206027954E-3
-1.20000000000000040E0	1.19999999999999996E0	1.26213855207063763E-3
-1.20000000000000040E0	1.30000000000000004E0	1.30325663448923335E-3
-1.20000000000000040E0	1.40000000000000013E0	1.33785015056492584E-3
-1.20000000000000040E0	1.50000000000000022E0	1.36682738372410051E-3
-1.20000000000000040E0	1.60000000000000031E0	1.39101117608604730E-3
-1.20000000000000040E0	1.70000000000000040E0	1.41113258965693333E-3
-1.20000000000000040E0	1.80000000000000049E0	1.42783124064360356E-3
-1.20000000000000040E0	1.90000000000000058E0	1.44165992588906056E-3
-1.20000000000000040E0	2.00000000000000044E0	1.45309173186187079E-3
-1.20000000000000040E0	2.10000000000000053E0	1.46252832747097528E-3
